order_id,order_date,order_time,num_drinks,total_cost,drink1,drink2,drink3,drink4,drink5,drink6,drink7,drink8,drink9,drink10
10000052,2022-10-01,14:02:28,5,25,0009,0030,0015,0007,0026,0000,0000,0000,0000,0000
10000053,2022-10-01,14:06:39,4,20,0011,0046,0028,0033,0000,0000,0000,0000,0000,0000
10000054,2022-10-01,14:11:01,7,32,0013,0023,0021,0006,0024,0002,0022,0000,0000,0000
10000055,2022-10-01,14:16:31,8,37,0046,0002,0025,0022,0034,0040,0019,0033,0000,0000
10000056,2022-10-01,14:17:39,4,19,0007,0006,0017,0018,0000,0000,0000,0000,0000,0000
10000057,2022-10-01,14:19:37,3,14,0018,0009,0028,0000,0000,0000,0000,0000,0000,0000
10000058,2022-10-01,14:23:03,3,12,0035,0033,0037,0000,0000,0000,0000,0000,0000,0000
10000059,2022-10-01,14:27:48,6,30,0006,0018,0004,0045,0012,0028,0000,0000,0000,0000
10000060,2022-10-01,14:29:06,1,5,0041,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000061,2022-10-01,14:30:58,5,25,0006,0039,0015,0005,0017,0000,0000,0000,0000,0000
10000062,2022-10-01,14:32:28,1,4,0022,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000063,2022-10-01,14:37:55,5,25,0040,0009,0003,0034,0046,0000,0000,0000,0000,0000
10000064,2022-10-01,14:40:03,3,15,0017,0004,0012,0000,0000,0000,0000,0000,0000,0000
10000065,2022-10-01,14:42:23,5,22,0034,0014,0019,0029,0033,0000,0000,0000,0000,0000
10000066,2022-10-01,14:44:41,6,29,0002,0017,0003,0001,0002,0033,0000,0000,0000,0000
10000067,2022-10-01,14:49:54,9,45,0031,0016,0029,0007,0043,0042,0028,0043,0032,0000
10000068,2022-10-01,14:55:48,7,33,0033,0020,0045,0014,0015,0022,0013,0000,0000,0000
10000069,2022-10-01,14:58:14,6,30,0004,0009,0001,0005,0041,0017,0000,0000,0000,0000
10000070,2022-10-01,15:02:25,1,5,0006,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000071,2022-10-01,15:07:21,9,44,0043,0019,0039,0016,0045,0019,0003,0030,0012,0000
10000072,2022-10-01,15:09:39,8,37,0001,0017,0024,0022,0036,0021,0016,0003,0000,0000
10000073,2022-10-01,15:12:53,6,29,0012,0001,0022,0025,0006,0031,0000,0000,0000,0000
10000074,2022-10-01,15:16:26,4,19,0016,0033,0001,0006,0000,0000,0000,0000,0000,0000
10000075,2022-10-01,15:20:19,2,10,0010,0026,0000,0000,0000,0000,0000,0000,0000,0000
10000076,2022-10-01,15:25:22,7,33,0002,0020,0020,0041,0015,0006,0038,0000,0000,0000
10000077,2022-10-01,15:31:17,3,16,0043,0046,0039,0000,0000,0000,0000,0000,0000,0000
10000078,2022-10-01,15:36:06,6,29,0032,0010,0019,0040,0042,0010,0000,0000,0000,0000
10000079,2022-10-01,15:37:59,9,42,0041,0028,0045,0033,0009,0034,0033,0037,0002,0000
10000080,2022-10-01,15:43:51,4,20,0006,0002,0003,0009,0000,0000,0000,0000,0000,0000
10000081,2022-10-01,15:46:58,7,33,0029,0036,0004,0041,0002,0041,0035,0000,0000,0000
10000082,2022-10-01,15:49:30,5,23,0001,0030,0005,0033,0035,0000,0000,0000,0000,0000
10000083,2022-10-01,15:51:13,9,45,0005,0031,0017,0005,0017,0016,0014,0015,0042,0000
10000084,2022-10-01,15:55:45,7,35,0005,0031,0044,0019,0003,0040,0041,0000,0000,0000
10000085,2022-10-01,15:57:50,10,48,0010,0022,0017,0042,0045,0020,0040,0037,0009,0001
10000086,2022-10-01,16:01:54,8,41,0018,0044,0007,0045,0014,0044,0032,0019,0000,0000
10000087,2022-10-01,16:07:13,8,38,0030,0030,0008,0036,0013,0020,0006,0031,0000,0000
10000088,2022-10-01,16:08:32,8,38,0005,0033,0029,0018,0025,0014,0014,0005,0000,0000
10000089,2022-10-01,16:13:38,3,14,0034,0017,0024,0000,0000,0000,0000,0000,0000,0000
10000090,2022-10-01,16:16:17,9,45,0018,0008,0046,0024,0015,0032,0032,0026,0002,0000
10000091,2022-10-01,16:18:18,8,39,0044,0029,0026,0020,0010,0027,0023,0025,0000,0000
10000092,2022-10-01,16:21:26,6,28,0001,0021,0022,0026,0008,0013,0000,0000,0000,0000
10000093,2022-10-01,16:23:24,5,25,0017,0024,0005,0026,0025,0000,0000,0000,0000,0000
10000094,2022-10-01,16:28:29,6,28,0028,0018,0004,0018,0007,0004,0000,0000,0000,0000
10000095,2022-10-01,16:32:10,3,14,0016,0018,0028,0000,0000,0000,0000,0000,0000,0000
10000096,2022-10-01,16:37:31,4,20,0024,0028,0002,0041,0000,0000,0000,0000,0000,0000
10000097,2022-10-01,16:42:30,9,44,0036,0014,0006,0004,0027,0029,0040,0009,0042,0000
10000098,2022-10-01,16:46:02,1,4,0036,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000099,2022-10-01,16:48:13,8,37,0027,0022,0019,0020,0017,0042,0017,0026,0000,0000
10000100,2022-10-01,16:50:33,8,39,0036,0043,0026,0008,0011,0042,0011,0005,0000,0000
10000101,2022-10-01,16:53:06,8,37,0036,0015,0029,0022,0029,0028,0009,0036,0000,0000
10000102,2022-10-01,16:55:22,2,9,0012,0022,0000,0000,0000,0000,0000,0000,0000,0000
10000103,2022-10-01,17:00:28,6,29,0016,0024,0017,0037,0013,0002,0000,0000,0000,0000
10000104,2022-10-01,17:04:53,7,32,0034,0014,0025,0018,0022,0004,0032,0000,0000,0000
10000105,2022-10-01,17:08:30,6,29,0009,0044,0033,0034,0041,0014,0000,0000,0000,0000
10000106,2022-10-01,17:09:48,4,20,0025,0026,0042,0029,0000,0000,0000,0000,0000,0000
10000107,2022-10-01,17:14:08,1,5,0009,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000108,2022-10-01,17:15:36,8,39,0038,0032,0001,0005,0026,0034,0030,0029,0000,0000
10000109,2022-10-01,17:18:27,2,10,0015,0010,0000,0000,0000,0000,0000,0000,0000,0000
10000110,2022-10-01,17:21:01,2,11,0045,0042,0000,0000,0000,0000,0000,0000,0000,0000
10000111,2022-10-01,17:25:07,9,44,0003,0001,0009,0015,0037,0003,0042,0046,0020,0000
10000112,2022-10-01,17:27:48,5,25,0034,0041,0028,0045,0008,0000,0000,0000,0000,0000
10000113,2022-10-01,17:28:53,5,24,0034,0038,0013,0025,0017,0000,0000,0000,0000,0000
10000114,2022-10-01,17:31:44,10,46,0001,0001,0035,0020,0030,0018,0021,0042,0016,0031
10000115,2022-10-01,17:37:00,9,45,0016,0002,0027,0046,0042,0020,0004,0002,0013,0000
10000116,2022-10-01,17:41:57,7,35,0006,0017,0015,0043,0028,0024,0015,0000,0000,0000
10000117,2022-10-02,11:01:45,6,32,0046,0027,0024,0044,0026,0013,0000,0000,0000,0000
10000118,2022-10-02,11:03:37,5,24,0033,0005,0014,0032,0013,0000,0000,0000,0000,0000
10000119,2022-10-02,11:07:27,4,20,0015,0030,0015,0017,0000,0000,0000,0000,0000,0000
10000120,2022-10-02,11:10:34,10,50,0032,0040,0012,0015,0032,0027,0043,0004,0039,0010
10000121,2022-10-02,11:14:38,4,20,0002,0039,0010,0027,0000,0000,0000,0000,0000,0000
10000122,2022-10-02,11:16:24,1,5,0012,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000123,2022-10-02,11:20:53,6,29,0008,0006,0011,0022,0013,0012,0000,0000,0000,0000
10000124,2022-10-02,11:24:56,5,24,0043,0025,0024,0022,0029,0000,0000,0000,0000,0000
10000125,2022-10-02,11:27:03,1,5,0006,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000126,2022-10-02,11:30:09,6,28,0027,0008,0036,0014,0025,0023,0000,0000,0000,0000
10000127,2022-10-02,11:34:02,7,35,0006,0004,0046,0031,0013,0024,0035,0000,0000,0000
10000128,2022-10-02,11:38:15,6,30,0024,0031,0002,0041,0027,0016,0000,0000,0000,0000
10000129,2022-10-02,11:42:18,7,35,0003,0030,0005,0004,0017,0013,0005,0000,0000,0000
10000130,2022-10-02,11:45:42,5,25,0022,0040,0003,0017,0046,0000,0000,0000,0000,0000
10000131,2022-10-02,11:49:00,5,25,0001,0039,0041,0005,0002,0000,0000,0000,0000,0000
10000132,2022-10-02,11:51:07,8,41,0046,0030,0025,0017,0028,0032,0009,0032,0000,0000
10000133,2022-10-02,11:53:08,5,25,0045,0010,0039,0016,0021,0000,0000,0000,0000,0000
10000134,2022-10-02,11:56:38,6,29,0039,0006,0033,0013,0026,0011,0000,0000,0000,0000
10000135,2022-10-02,11:59:05,2,10,0042,0003,0000,0000,0000,0000,0000,0000,0000,0000
10000136,2022-10-02,12:03:41,9,44,0021,0011,0028,0007,0005,0017,0040,0006,0014,0000
10000137,2022-10-02,12:05:08,8,41,0046,0029,0012,0015,0009,0027,0030,0040,0000,0000
10000138,2022-10-02,12:07:56,9,40,0043,0008,0019,0019,0018,0037,0018,0024,0017,0000
10000139,2022-10-02,12:11:09,8,39,0016,0012,0016,0016,0010,0019,0038,0013,0000,0000
10000140,2022-10-02,12:14:14,7,33,0017,0016,0033,0034,0015,0042,0007,0000,0000,0000
10000141,2022-10-02,12:18:17,2,10,0001,0031,0000,0000,0000,0000,0000,0000,0000,0000
10000142,2022-10-02,12:21:11,8,39,0024,0003,0019,0015,0008,0004,0013,0039,0000,0000
10000143,2022-10-02,12:23:16,6,29,0033,0012,0029,0039,0017,0043,0000,0000,0000,0000
10000144,2022-10-02,12:24:23,10,49,0046,0040,0023,0014,0003,0024,0022,0010,0003,0014
10000145,2022-10-02,12:27:26,10,49,0042,0014,0001,0021,0027,0044,0024,0012,0040,0020
10000146,2022-10-02,12:28:40,1,5,0032,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000147,2022-10-02,12:32:45,7,33,0007,0026,0043,0036,0010,0041,0035,0000,0000,0000
10000148,2022-10-02,12:34:27,3,15,0026,0045,0018,0000,0000,0000,0000,0000,0000,0000
10000149,2022-10-02,12:38:46,5,22,0027,0004,0020,0037,0023,0000,0000,0000,0000,0000
10000150,2022-10-02,12:43:13,1,5,0024,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000151,2022-10-02,12:45:39,7,35,0014,0001,0028,0011,0028,0008,0006,0000,0000,0000
10000152,2022-10-02,12:50:16,6,29,0030,0011,0009,0001,0004,0036,0000,0000,0000,0000
10000153,2022-10-02,12:52:58,7,33,0006,0037,0040,0024,0033,0011,0010,0000,0000,0000
10000154,2022-10-02,12:56:17,3,14,0034,0011,0005,0000,0000,0000,0000,0000,0000,0000
10000155,2022-10-02,12:57:42,8,38,0013,0020,0009,0003,0031,0021,0004,0039,0000,0000
10000156,2022-10-02,13:01:48,10,51,0045,0011,0041,0015,0040,0026,0040,0013,0031,0012
10000157,2022-10-02,13:03:51,7,33,0034,0011,0025,0023,0008,0010,0016,0000,0000,0000
10000158,2022-10-02,13:05:54,9,44,0044,0003,0043,0021,0008,0025,0039,0030,0036,0000
10000159,2022-10-02,13:09:36,7,34,0020,0038,0016,0028,0025,0043,0024,0000,0000,0000
10000160,2022-10-02,13:14:09,8,40,0012,0002,0001,0040,0032,0030,0016,0029,0000,0000
10000161,2022-10-02,13:19:03,3,15,0031,0026,0007,0000,0000,0000,0000,0000,0000,0000
10000162,2022-10-02,13:20:12,6,28,0028,0024,0006,0029,0033,0033,0000,0000,0000,0000
10000163,2022-10-02,13:21:15,3,13,0006,0021,0033,0000,0000,0000,0000,0000,0000,0000
10000164,2022-10-02,13:22:19,9,46,0025,0042,0009,0002,0005,0040,0045,0008,0013,0000
10000165,2022-10-02,13:25:16,8,39,0019,0011,0044,0015,0005,0023,0040,0017,0000,0000
10000166,2022-10-02,13:27:37,10,48,0018,0030,0010,0017,0033,0031,0014,0038,0017,0040
10000167,2022-10-02,13:29:58,6,30,0003,0013,0012,0026,0011,0041,0000,0000,0000,0000
10000168,2022-10-02,13:33:42,6,29,0025,0011,0017,0008,0034,0004,0000,0000,0000,0000
10000169,2022-10-02,13:37:38,8,38,0036,0034,0038,0045,0007,0017,0035,0041,0000,0000
10000170,2022-10-02,13:42:26,6,29,0017,0025,0024,0037,0010,0024,0000,0000,0000,0000
10000171,2022-10-02,13:46:15,2,10,0029,0015,0000,0000,0000,0000,0000,0000,0000,0000
10000172,2022-10-02,13:48:55,1,4,0019,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000173,2022-10-02,13:52:15,10,48,0043,0021,0001,0003,0015,0010,0019,0040,0041,0028
10000174,2022-10-02,13:56:48,6,30,0004,0009,0032,0015,0040,0042,0000,0000,0000,0000
10000175,2022-10-02,13:57:50,1,5,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000176,2022-10-02,14:01:10,2,8,0034,0023,0000,0000,0000,0000,0000,0000,0000,0000
10000177,2022-10-02,14:03:37,10,49,0020,0038,0009,0014,0024,0040,0031,0011,0009,0001
10000178,2022-10-02,14:06:23,3,15,0029,0007,0005,0000,0000,0000,0000,0000,0000,0000
10000179,2022-10-02,14:09:19,5,25,0026,0017,0001,0004,0042,0000,0000,0000,0000,0000
10000180,2022-10-02,14:12:58,10,48,0029,0039,0034,0032,0016,0011,0001,0003,0004,0035
10000181,2022-10-02,14:14:24,3,15,0016,0011,0004,0000,0000,0000,0000,0000,0000,0000
10000182,2022-10-02,14:15:25,10,47,0036,0043,0013,0010,0027,0013,0034,0039,0042,0033
10000183,2022-10-02,14:20:18,10,47,0012,0033,0020,0005,0020,0041,0004,0031,0046,0035
10000184,2022-10-02,14:21:43,7,35,0030,0006,0042,0029,0012,0015,0007,0000,0000,0000
10000185,2022-10-02,14:24:58,1,5,0008,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000186,2022-10-02,14:28:56,5,24,0046,0004,0018,0041,0036,0000,0000,0000,0000,0000
10000187,2022-10-02,14:33:40,9,43,0017,0019,0042,0014,0006,0033,0001,0011,0017,0000
10000188,2022-10-02,14:36:34,4,19,0011,0021,0013,0025,0000,0000,0000,0000,0000,0000
10000189,2022-10-02,14:40:13,4,21,0025,0041,0045,0043,0000,0000,0000,0000,0000,0000
10000190,2022-10-02,14:44:44,9,44,0045,0001,0002,0028,0015,0037,0020,0014,0026,0000
10000191,2022-10-02,14:46:21,3,15,0010,0003,0002,0000,0000,0000,0000,0000,0000,0000
10000192,2022-10-02,14:47:28,10,51,0011,0023,0010,0045,0002,0002,0003,0009,0045,0042
10000193,2022-10-02,14:49:13,2,10,0003,0005,0000,0000,0000,0000,0000,0000,0000,0000
10000194,2022-10-02,14:52:26,9,46,0043,0005,0046,0025,0007,0016,0014,0014,0008,0000
10000195,2022-10-02,14:53:29,2,10,0041,0041,0000,0000,0000,0000,0000,0000,0000,0000
10000196,2022-10-02,14:57:00,2,10,0009,0007,0000,0000,0000,0000,0000,0000,0000,0000
10000197,2022-10-02,14:59:19,6,28,0022,0028,0017,0002,0023,0017,0000,0000,0000,0000
10000198,2022-10-02,15:02:23,6,27,0021,0039,0033,0031,0019,0040,0000,0000,0000,0000
10000199,2022-10-02,15:04:14,7,34,0002,0028,0034,0007,0023,0031,0046,0000,0000,0000
10000200,2022-10-02,15:05:49,10,48,0014,0046,0006,0037,0019,0011,0028,0001,0034,0013
10000201,2022-10-02,15:09:38,1,5,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000202,2022-10-02,15:13:10,2,11,0032,0045,0000,0000,0000,0000,0000,0000,0000,0000
10000203,2022-10-02,15:15:42,10,47,0023,0033,0017,0037,0011,0019,0014,0045,0015,0032
10000204,2022-10-02,15:17:50,2,11,0032,0045,0000,0000,0000,0000,0000,0000,0000,0000
10000205,2022-10-02,15:19:31,6,29,0023,0007,0026,0026,0006,0028,0000,0000,0000,0000
10000206,2022-10-02,15:20:55,4,18,0020,0017,0028,0035,0000,0000,0000,0000,0000,0000
10000207,2022-10-02,15:23:20,4,19,0030,0009,0035,0039,0000,0000,0000,0000,0000,0000
10000208,2022-10-02,15:24:43,10,46,0021,0034,0010,0029,0043,0036,0021,0011,0030,0029
10000209,2022-10-02,15:28:21,4,19,0009,0022,0030,0042,0000,0000,0000,0000,0000,0000
10000210,2022-10-02,15:30:54,4,19,0018,0020,0046,0040,0000,0000,0000,0000,0000,0000
10000211,2022-10-02,15:33:41,3,14,0016,0021,0039,0000,0000,0000,0000,0000,0000,0000
10000212,2022-10-02,15:36:52,4,19,0021,0013,0017,0007,0000,0000,0000,0000,0000,0000
10000213,2022-10-02,15:39:35,2,10,0013,0025,0000,0000,0000,0000,0000,0000,0000,0000
10000214,2022-10-02,15:41:45,5,23,0020,0028,0018,0013,0007,0000,0000,0000,0000,0000
10000215,2022-10-02,15:43:03,4,20,0025,0030,0003,0001,0000,0000,0000,0000,0000,0000
10000216,2022-10-02,15:47:58,7,34,0045,0015,0033,0041,0019,0030,0002,0000,0000,0000
10000217,2022-10-02,15:50:15,10,50,0026,0001,0016,0028,0045,0037,0038,0042,0027,0015
10000218,2022-10-02,15:52:59,3,15,0042,0008,0030,0000,0000,0000,0000,0000,0000,0000
10000219,2022-10-02,15:57:20,5,26,0041,0045,0007,0027,0016,0000,0000,0000,0000,0000
10000220,2022-10-02,16:02:06,3,15,0017,0028,0031,0000,0000,0000,0000,0000,0000,0000
10000221,2022-10-02,16:06:08,10,49,0027,0034,0044,0043,0012,0042,0021,0001,0025,0032
10000222,2022-10-02,16:07:11,5,25,0035,0014,0011,0046,0013,0000,0000,0000,0000,0000
10000223,2022-10-02,16:10:18,10,48,0030,0035,0014,0046,0031,0033,0002,0041,0024,0034
10000224,2022-10-02,16:13:45,8,39,0014,0044,0012,0026,0033,0008,0040,0023,0000,0000
10000225,2022-10-02,16:15:02,5,25,0025,0026,0004,0001,0005,0000,0000,0000,0000,0000
10000226,2022-10-02,16:20:01,7,36,0041,0045,0044,0023,0038,0017,0007,0000,0000,0000
10000227,2022-10-02,16:22:21,7,34,0034,0015,0026,0030,0014,0011,0009,0000,0000,0000
10000228,2022-10-02,16:24:13,4,19,0031,0042,0036,0015,0000,0000,0000,0000,0000,0000
10000229,2022-10-02,16:26:36,7,32,0030,0019,0036,0042,0009,0031,0023,0000,0000,0000
10000230,2022-10-02,16:28:54,7,37,0044,0017,0028,0044,0012,0031,0001,0000,0000,0000
10000231,2022-10-02,16:32:17,4,18,0042,0020,0021,0031,0000,0000,0000,0000,0000,0000
10000232,2022-10-02,16:36:45,10,48,0041,0006,0043,0024,0010,0020,0025,0004,0006,0037
10000233,2022-10-02,16:40:36,3,13,0034,0023,0041,0000,0000,0000,0000,0000,0000,0000
10000234,2022-10-02,16:42:19,1,5,0014,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000235,2022-10-02,16:44:01,5,25,0017,0039,0007,0038,0010,0000,0000,0000,0000,0000
10000236,2022-10-02,16:46:13,8,39,0023,0010,0014,0026,0035,0011,0040,0045,0000,0000
10000237,2022-10-02,16:47:56,9,44,0041,0020,0013,0032,0045,0014,0034,0006,0029,0000
10000238,2022-10-02,16:49:32,2,10,0017,0027,0000,0000,0000,0000,0000,0000,0000,0000
10000239,2022-10-02,16:52:25,3,14,0031,0032,0036,0000,0000,0000,0000,0000,0000,0000
10000240,2022-10-02,16:53:56,8,40,0010,0045,0032,0016,0032,0011,0035,0039,0000,0000
10000241,2022-10-02,16:55:07,6,29,0030,0045,0037,0032,0043,0019,0000,0000,0000,0000
10000242,2022-10-02,16:59:31,7,36,0027,0044,0005,0012,0041,0024,0041,0000,0000,0000
10000243,2022-10-02,17:00:33,10,49,0003,0044,0022,0007,0033,0031,0032,0010,0003,0014
10000244,2022-10-02,17:05:14,3,14,0022,0007,0043,0000,0000,0000,0000,0000,0000,0000
10000245,2022-10-02,17:08:36,8,36,0034,0036,0014,0019,0028,0022,0028,0017,0000,0000
10000246,2022-10-02,17:10:29,5,22,0019,0023,0032,0026,0022,0000,0000,0000,0000,0000
10000247,2022-10-02,17:14:25,9,43,0023,0014,0042,0032,0008,0022,0013,0021,0046,0000
10000248,2022-10-02,17:17:34,10,47,0041,0006,0003,0026,0036,0026,0035,0037,0004,0026
10000249,2022-10-02,17:20:41,1,5,0003,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000250,2022-10-02,17:23:34,8,38,0039,0043,0004,0033,0035,0040,0025,0040,0000,0000
10000251,2022-10-02,17:26:15,10,51,0044,0006,0014,0003,0043,0041,0030,0041,0012,0007
10000252,2022-10-02,17:29:11,1,5,0027,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000253,2022-10-02,17:31:10,1,5,0024,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000254,2022-10-02,17:34:01,5,24,0036,0046,0017,0020,0012,0000,0000,0000,0000,0000
10000255,2022-10-03,11:01:21,1,5,0028,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000256,2022-10-03,11:02:53,10,49,0034,0003,0008,0027,0037,0045,0026,0029,0005,0001
10000257,2022-10-03,11:07:32,10,49,0043,0010,0031,0027,0036,0007,0006,0042,0031,0014
10000258,2022-10-03,11:10:13,1,5,0028,0000,0000,0000,0000,0000,0000,0000,0000,0000
10000259,2022-10-03,11:11:14,2,10,0006,0014,0000,0000,0000,0000,0000,0000,0000,0000
10000260,2022-10-03,11:12:23,8,38,0002,0018,0037,0016,0029,0012,0004,0024,0000,0000
10000261,2022-10-03,11:15:10,2,9,0019,0041,0000,0000,0000,0000,0000,0000,0000,0000
10000262,2022-10-03,11:19:40,5,26,0004,0046,0003,0001,0004,0000,0000,0000,0000,0000
10000263,2022-10-03,11:21:37,10,47,0006,0025,0020,0020,0039,0011,0032,0039,0004,0021
10000264,2022-10-03,11:25:14,8,41,0031,0044,0011,0010,0008,0024,0042,0011,0000,0000
10000265,2022-10-03,11:29:45,7,30,0029,0018,0037,0022,0019,0018,0004,0000,0000,0000
10000266,2022-10-03,11:33:41,10,50,0001,0010,0039,0020,0038,0028,0016,0025,0025,0044
10000267,2022-10-03,11:38:20,4,20,0029,0019,0045,0001,0000,0000,0000,0000,0000,0000
10000268,2022-10-03,11:41:37,5,24,0028,0011,0038,0003,0019,0000,0000,0000,0000,0000
10000269,2022-10-03,11:44:29,10,45,0010,0018,0036,0044,0032,0023,0035,0006,0035,0036
10000270,2022-10-03,11:49:21,7,35,0013,0015,0020,0039,0004,0044,0026,0000,0000,0000
10000271,2022-10-03,11:54:07,4,20,0017,0038,0001,0025,0000,0000,0000,0000,0000,0000
10000272,2022-10-03,11:58:42,2,8,0035,0023,0000,0000,0000,0000,0000,0000,0000,0000
